tic,weight
KLAC,0.0022522522522522522
KMB,0.0022522522522522522
KMI,0.0022522522522522522
KMX,0.0022522522522522522
KO,0.0022522522522522522
KR,0.0022522522522522522
KVUE,0.0022522522522522522
L,0.0022522522522522522
LDOS,0.0022522522522522522
LEN,0.0022522522522522522
LH,0.0022522522522522522
LHX,0.0022522522522522522
LII,0.0022522522522522522
LIN,0.0022522522522522522
LKQ,0.0022522522522522522
LLY,0.0022522522522522522
LMT,0.0022522522522522522
LNT,0.0022522522522522522
LOW,0.0022522522522522522
LRCX,0.0022522522522522522
LULU,0.0022522522522522522
LUV,0.0022522522522522522
LW,0.0022522522522522522
LYB,0.0022522522522522522
LYV,0.0022522522522522522
MA,0.0022522522522522522
MAR,0.0022522522522522522
MAS,0.0022522522522522522
MCHP,0.0022522522522522522
MCK,0.0022522522522522522
MCO,0.0022522522522522522
MDLZ,0.0022522522522522522
MDT,0.0022522522522522522
MET,0.0022522522522522522
META,0.0022522522522522522
MGM,0.0022522522522522522
MHK,0.0022522522522522522
MKC,0.0022522522522522522
MKTX,0.0022522522522522522
MLM,0.0022522522522522522
MMC,0.0022522522522522522
MMM,0.0022522522522522522
MNST,0.0022522522522522522
MO,0.0022522522522522522
MOH,0.0022522522522522522
MOS,0.0022522522522522522
MPC,0.0022522522522522522
MPWR,0.0022522522522522522
MRK,0.0022522522522522522
MRNA,0.0022522522522522522
MSCI,0.0022522522522522522
MSFT,0.0022522522522522522
MSI,0.0022522522522522522
MTB,0.0022522522522522522
MTCH,0.0022522522522522522
MTD,0.0022522522522522522
MU,0.0022522522522522522
NCLH,0.0022522522522522522
NDAQ,0.0022522522522522522
NDSN,0.0022522522522522522
NEE,0.0022522522522522522
NEM,0.0022522522522522522
NFLX,0.0022522522522522522
NI,0.0022522522522522522
NKE,0.0022522522522522522
NOC,0.0022522522522522522
NOW,0.0022522522522522522
NSC,0.0022522522522522522
NTAP,0.0022522522522522522
NTRS,0.0022522522522522522
NUE,0.0022522522522522522
NVDA,0.0022522522522522522
NVR,0.0022522522522522522
NWS,0.0022522522522522522
NWSA,0.0022522522522522522
NXPI,0.0022522522522522522
ODFL,0.0022522522522522522
OKE,0.0022522522522522522
OMC,0.0022522522522522522
ON,0.0022522522522522522
ORCL,0.0022522522522522522
ORLY,0.0022522522522522522
OTIS,0.0022522522522522522
OXY,0.0022522522522522522
PANW,0.0022522522522522522
PAYC,0.0022522522522522522
PAYX,0.0022522522522522522
PCAR,0.0022522522522522522
PCG,0.0022522522522522522
PEG,0.0022522522522522522
PEP,0.0022522522522522522
PFE,0.0022522522522522522
PFG,0.0022522522522522522
PG,0.0022522522522522522
PGR,0.0022522522522522522
PH,0.0022522522522522522
PHM,0.0022522522522522522
PKG,0.0022522522522522522
PLTR,0.0022522522522522522
PM,0.0022522522522522522
PNC,0.0022522522522522522
PNR,0.0022522522522522522
PNW,0.0022522522522522522
PODD,0.0022522522522522522
POOL,0.0022522522522522522
PPG,0.0022522522522522522
PPL,0.0022522522522522522
PRU,0.0022522522522522522
PSX,0.0022522522522522522
PTC,0.0022522522522522522
PWR,0.0022522522522522522
PYPL,0.0022522522522522522
QCOM,0.0022522522522522522
RCL,0.0022522522522522522
REGN,0.0022522522522522522
RF,0.0022522522522522522
RJF,0.0022522522522522522
RL,0.0022522522522522522
RMD,0.0022522522522522522
ROK,0.0022522522522522522
ROL,0.0022522522522522522
ROP,0.0022522522522522522
ROST,0.0022522522522522522
RSG,0.0022522522522522522
RTX,0.0022522522522522522
RVTY,0.0022522522522522522
SBUX,0.0022522522522522522
SCHW,0.0022522522522522522
SHW,0.0022522522522522522
SJM,0.0022522522522522522
SLB,0.0022522522522522522
SMCI,0.0022522522522522522
SNPS,0.0022522522522522522
SO,0.0022522522522522522
SOLV,0.0022522522522522522
SPGI,0.0022522522522522522
SRE,0.0022522522522522522
STE,0.0022522522522522522
STLD,0.0022522522522522522
STT,0.0022522522522522522
STX,0.0022522522522522522
STZ,0.0022522522522522522
SW,0.0022522522522522522
SWK,0.0022522522522522522
SWKS,0.0022522522522522522
SYF,0.0022522522522522522
SYK,0.0022522522522522522
SYY,0.0022522522522522522
T,0.0022522522522522522
TAP,0.0022522522522522522
TDG,0.0022522522522522522
TDY,0.0022522522522522522
TECH,0.0022522522522522522
TEL,0.0022522522522522522
TFC,0.0022522522522522522
TFX,0.0022522522522522522
TGT,0.0022522522522522522
TJX,0.0022522522522522522
TMO,0.0022522522522522522
TMUS,0.0022522522522522522
TPL,0.0022522522522522522
TPR,0.0022522522522522522
TRGP,0.0022522522522522522
TRMB,0.0022522522522522522
TROW,0.0022522522522522522
TRV,0.0022522522522522522
TSCO,0.0022522522522522522
TSLA,0.0022522522522522522
TSN,0.0022522522522522522
TT,0.0022522522522522522
TTWO,0.0022522522522522522
TXN,0.0022522522522522522
TXT,0.0022522522522522522
TYL,0.0022522522522522522
UAL,0.0022522522522522522
UBER,0.0022522522522522522
UHS,0.0022522522522522522
ULTA,0.0022522522522522522
UNH,0.0022522522522522522
UNP,0.0022522522522522522
UPS,0.0022522522522522522
URI,0.0022522522522522522
V,0.0022522522522522522
VLO,0.0022522522522522522
VLTO,0.0022522522522522522
VMC,0.0022522522522522522
VRSK,0.0022522522522522522
VRSN,0.0022522522522522522
VRTX,0.0022522522522522522
VST,0.0022522522522522522
VTRS,0.0022522522522522522
VZ,0.0022522522522522522
